category_code,category_name,category_code_parent
13761,MLM & Get Rich Quick Opportunities,13411
11089,Business Process Analysis,10276
11096,Business Security Investigation,10276
11086,Business Strategy Planning,10276
11090,Corporate Events,10276
12386,Corporate Entertainment,11090
12385,Corporate Event Planning,11090
12384,Team Building,11090
12383,Trade Fairs & Shows,11090
11092,Customer Support & Outreach,10276
13854,E-Commerce,10276
11084,Human Resources,10276
12373,Compensation & Benefits,11084
12370,Corporate Training,11084
12374,Employee Relations,11084
12369,Outsourcing & Outplacement,11084
12372,Payroll Services,11084
12371,Recruiting & Retention,11084
11085,Mail Order Services,10276
11098,Management Consulting,10276
11099,Office & Facilities Management,10276
12397,Document Management,11099
12396,Document Shredding & Destruction,11099
12398,Mail Processing,11099
12399,Office Automation,11099
11095,Physical Asset Management,10276
11097,Supply Chain Management,10276
11094,Technology Consulting,10276
11100,Transcription,10276
13491,Chemical Industry,10004
12345,Biochemistry,13491
11250,Chemicals & Chemical Products,13491
12548,Absorbents,11250
12557,Additives,11250
12559,Agents & Reagents,11250
12551,Chemical Adhesives,11250
12550,Chemical Removers & Solvents,11250
12553,Desiccants,11250
12558,Dyestuffs & Inks,11250
12555,Industrial Protectants & Sealers,11250
12556,Lubricants,11250
13189,Industrial Lubricants,12556
13188,Vehicle Lubricants,12556
12549,Paint Thinners,11250
12547,Plastics & Rubber,11250
12546,Refrigerants,11250
11191,Resins,11250
11163,Food Science,13491
10307,Commercial & Industrial Printing,10004
11169,Book Printing,10307
11392,CD & DVD Duplication & Printing,10307
11168,Check Printing,10307
11397,Large Format Printers,10307
11396,Pad Printing,10307
12708,Printing Presses,10307
11171,Screen Printing,10307
11394,UV Curing,10307
10273,Design & Engineering,10004
11130,Architecture,10273
12416,Architectural Engineering,11130
13868,Civil Engineering,10273
11367,Drafting Boards & Tables,10273
11369,Drafting Equipment,10273
11069,Drafting Services,10273
11068,Graphic Design,10273
13733,Industrial & Product Design,10273
13732,Industrial & Systems Engineering,10273
13734,Interior Design,10273
10295,Energy Industry,10004
11176,Energy Consulting,10295
11173,Energy Management,10295
13603,Energy Audits & Assessments,11173
11174,Energy Price Comparison,10295
11175,Energy Research,10295
11263,Generators,10295
11259,Industrial Magnets,10295
12113,Oil & Gas,10295
11261,Fuel,12113
12569,Biofuel,11261
13346,Biodiesel,12569
13190,Ethanol,12569
12570,Gasoline,11261
12572,Natural Gas,11261
12571,Propane,11261
11257,Fuel Cells,12113
12110,Renewable & Alternative Energy,10295
11262,Solar Power,12110
12574,Solar Chargers,11262
12573,Solar Panels,11262
13838,Wind Power,12110
11388,Waste Management,10295
12706,Recycling,11388
13676,Fishing Industry,10004
13677,Commercial Fishing,13676
13844,Food Production,10004
10301,Food Service Industry,10004
11340,Beverage & Bar Supplies,10301
12651,"Beverage, Bar & Wineware",11340
13835,Mugs & Cups,12651
13331,Wine Glasses,12651
13330,Wine Openers & Accessories,12651
12646,Cold Beverage Dispensers,11340
11485,Catering & Bartending,10301
11347,Chafing Dishes,10301
11345,Commercial Food Preparation Equipment,10301
11346,Concession Equipment,10301
12052,Culinary Schools & Courses,10301
11341,Dish Dispensers,10301
11160,Food Consulting,10301
11352,Food Display Cases,10301
11162,Food Distribution,10301
11159,Food Import & Export,10301
11161,Food Marketing,10301
11156,Food Packing & Bottling,10301
11354,Food Scales,10301
11353,Food Transport Carts,10301
11348,Ice Machines,10301
11355,Industrial Food Storage,10301
11343,Industrial Refrigeration,10301
11155,Restaurant Suppliers,10301
11344,Salad & Cold Food Bars,10301
11342,Steam Tables & Food Warmers,10301
11349,Work & Dish Tables,10301
13841,Import & Export,10004
13464,Industrial Goods & Manufacturing,10004
10302,Industrial Electronics,13464
11359,Electronic Components,10302
12680,Attenuators,11359
12679,Capacitors,11359
12688,Circuit Boards,11359
12686,Circuit Breakers,11359
13845,Electrical Transformers,11359
12699,Electronic Chips,11359
12694,Electronic Circuits,11359
12685,Electronic Connectors & Terminals,11359
12698,Electronic Converters,11359
12684,Electronic Decoders & Encoders,11359
12676,Electronic Filters,11359
12677,Electronic Fuses & Fuseblocks,11359
12691,Electronic Inductors,11359
12693,Electronic Multiplexers,11359
12692,Electronic Oscillators,11359
12690,Electronic Resistors,11359
12682,Electronic Sockets,11359
12681,Electronic Terminal Blocks,11359
12697,Electronic Transistors,11359
12696,Electronic Transmitters,11359
12683,Potentiometers & Rheostats,11359
12695,Semiconductor Devices,11359
12687,Thermistors,11359
12675,Thermocouples,11359
12689,Transceivers,11359
12678,Transducers,11359
11363,Electronic Consoles & Enclosures,10302
11360,Electronic Test & Measurement Equipment,10302
11358,Electronic Wires & Tubing,10302
11361,Industrial Control Starters,10302
11362,Industrial Electronic Fans,10302
11357,Industrial Electronic Power Supplies,10302
11356,Optoelectronic & Fiber Electronic Products,10302
11364,Proximity Sensors,10302
10281,Industrial Manufacturing,13464
11118,Contract Manufacturing & Outsourcing,10281
11128,Industrial Brazing,10281
11109,Industrial Coating,10281
11124,Industrial Cutting,10281
11108,Industrial Drilling,10281
11111,Industrial Embossing & Engraving,10281
12517,Marking Devices,11111
11121,Industrial Filling,10281
11119,Industrial Finishing,10281
11113,Industrial Forming,10281
11114,Injection Molding,11113
11115,Thermoforming,11113
11120,Industrial Grinding,10281
11117,Industrial Handling & Processing,10281
11238,Industrial Handling & Processing Equipment,11117
12497,Actuators,11238
12524,Autoclaves & Sterilizers,11238
12496,Cargo Carriers,11238
12519,Chemical Reactors,11238
12522,Conveyors & Conveyor Parts,11238
12521,Dampers,11238
12512,Dehumidifiers,11238
12516,Dehydrators,11238
12515,Distilling Equipment,11238
12514,Dollies,11238
11384,Elevators & Lifts,11238
12504,Evaporators,11238
12508,Heat Exchangers & Pumps,11238
12510,Heat Sinks,11238
12498,Heat Treating Equipment,11238
12518,Hoists & Winches,11238
12523,Industrial & Protective Cases,11238
12501,Industrial Benches & Tables,11238
12525,Industrial Boilers,11238
12509,Industrial Burners,11238
12505,Industrial Carts,11238
12506,Industrial Crushers & Compactors,11238
12511,Industrial Kilns,11238
12513,Industrial Storage Containers,11238
12502,Lifting Jacks,11238
12499,Pallets,11238
12507,Reclaimers,11238
12520,Refractory Equipment,11238
12503,Vats,11238
11125,Industrial Heat Sealing & Treating,10281
11126,Industrial Lubrication,10281
11123,Industrial Measurement & Control,10281
11129,Industrial Slitting,10281
11127,Industrial Storage,10281
10293,Industrial Tools & Equipment,10281
11248,Air Compressors,10293
11242,Applicators & Dispensers,10293
11245,Bellows,10293
11243,Dies & Molds,10293
11240,Drill Presses,10293
11244,Industrial Abrasives,10293
11249,Industrial Blowers,10293
11247,Industrial Cutting Equipment,10293
12544,Industrial Chainsaws,11247
12543,Industrial Tablesaws,11247
11246,Industrial Grinders,10293
13763,Industrial Lasers,10293
11239,Industrial Lubricators,10293
11241,Industrial Measurement & Control Equipment,10293
12531,Accelerometers,11241
12532,Alignment & Calibration,11241
13187,Laser Alignment,12532
12526,Anemometers,11241
12535,Borescopes,11241
12530,Comparators,11241
12533,Dynamometers,11241
12528,Flowmeters,11241
12527,Gauges,11241
13186,Micrometer Screw Gauges,12527
12529,Industrial Scales,11241
12536,Industrial Thermometers,11241
12541,Industrial Thermostats,11241
12538,Limiters,11241
12537,Pyrometers,11241
12534,Regulators,11241
12540,Tachometers,11241
12539,Test Probes,11241
11110,Laser Marking,10281
11122,Metalworking,10281
11196,I-Beams,11122
12415,Industrial Forging,11122
11197,Metal Alloys,11122
12446,Carbide & Carbide Products,11197
12409,"Metal Casting, Molding & Machining",11122
12414,Metal Fabrication,11122
12407,Metal Plating & Finishing,11122
12411,Metal Stamping,11122
12408,Metallurgical Engineering,11122
11201,Metalworking Tools,11122
11204,Scrap Metal,11122
11200,Sheet & Plate Metal,11122
11195,Steel Angles & Channels,11122
12413,Welding,11122
12456,Welding Tools & Equipment,12413
12410,Mining,10281
10291,Mine Working Products & Equipment,12410
11112,Product Assembly,10281
11198,Metals,13464
12450,Aluminum,11198
12455,Brass,11198
12452,Bronze,11198
12448,Cobalt,11198
12447,Copper,11198
12454,Powdered Metals,11198
12449,Precious Metals,11198
13163,Gold,12449
13164,Platinum,12449
13162,Silver,12449
12451,Steel,11198
12453,Tin,11198
11202,Minerals,13464
11067,Occupational Health & Safety,13464
11383,Hazardous Material Control,11067
13746,Industrial Safety Supplies & Equipment,11067
10306,Plant & Facility,13464
11390,Acoustic Materials & Noise Control,10306
11387,Air Handling,10306
11386,Building Automation,10306
11182,Environmental Control,10306
12566,Robotics & Factory Automation,10306
10298,Textiles & Textile Services,13464
11303,Feathers & Down,10298
11300,Leather & Fur,10298
11060,Textile Manufacturing,10298
11116,Textile Spinning,10298
10308,Janitorial Products & Services,10004
11401,Electric Hand Dryers,10308
11400,Floor Cleaning,10308
12716,Automatic Floor Scrubbers,11400
12718,Carpet Fans,11400
11409,Industrial Brooms & Brushes,11400
12717,Industrial Floor Burnishers & Polishers,11400
11405,Industrial Mops & Mop Buckets,11400
12715,Industrial Vacuum Cleaners,11400
11402,Janitorial Carts,10308
11398,Janitorial Signs,10308
12710,ADA Signs,11398
12709,Wet Floor Signs,11398
11406,Odor Control Devices,10308
11408,Soap Dispensers,10308
11399,Touch-Free Devices,10308
12713,Automatic Faucets,11399
12712,Automatic Flush Valves,11399
12711,Automatic Soap Dispensers,11399
12714,Automatic Towel Dispensers,11399
11407,Towel Dispensers,10308
11403,Urinal Supplies,10308
11404,Waste Receptacles,10308
13804,Manufacturing,10004
10271,Consumer Goods Manufacturing,13804
11056,Apparel Manufacturing,10271
11055,Auto Industry & Vehicle Manufacturing,10271
11061,Consumer Electronics Manufacturing,10271
11058,Furniture Manufacturing,10271
11059,Home Appliance Manufacturing,10271
13814,"Plaques, Awards & Trophies",10271
10300,Office,10004
11338,"Binders, Binding & Laminating",10300
11325,"Business Cards, Stationery & Forms",10300
11328,Calculators,10300
11334,Calendars & Planners,10300
12580,Calendar & Scheduling Software,11334
11332,Desk Organizers,10300
11329,Glue & Paste,10300
11336,Labels & Labeling,10300
11324,Lanyards & Badge Holders,10300
11337,Microcassette Recorders,10300
11339,Office Appliances,10300
12638,Copiers,11339
12640,Desktop Printers,11339
13235,Inkjet Printers,12640
13233,Laser Printers,12640
13236,Multi-Function Printers,12640
13234,Photo Printers,12640
12641,Electronic Whiteboards,11339
12637,Fax Machines & Accessories,11339
12642,Overhead Projectors,11339
12639,Paper Shredders,11339
11323,Office Furniture,10300
12635,Bookcases & Shelving,11323
12630,Cubicle Walls & Panels,11323
12634,Desk Lamps & Table Lamps,11323
12632,Filing Cabinets,11323
